Month,TaiwanShortTermVisitorsArriving
1991-01,1980
1991-02,4510
1991-03,1800
1991-04,1590
1991-05,1490
1991-06,1480
1991-07,3090
1991-08,2910
1991-09,2200
1991-10,4390
1991-11,4720
1991-12,4570
1992-01,4450
1992-02,11110
1992-03,6190
1992-04,4550
1992-05,2620
1992-06,2070
1992-07,5390
1992-08,3460
1992-09,3340
1992-10,6860
1992-11,7050
1992-12,6380
1993-01,13300
1993-02,12570
1993-03,9140
1993-04,9170
1993-05,4960
1993-06,3360
1993-07,8180
1993-08,7950
1993-09,7200
1993-10,10580
1993-11,11010
1993-12,11300
1994-01,9070
1994-02,20600
1994-03,15470
1994-04,15170
1994-05,9120
1994-06,5840
1994-07,12880
1994-08,10030
1994-09,7530
1994-10,14240
1994-11,11010
1994-12,11570
1995-01,13350
1995-02,23180
1995-03,14770
1995-04,14360
1995-05,8060
1995-06,8120
1995-07,16350
1995-08,11860
1995-09,7690
1995-10,12140
1995-11,10800
1995-12,11290
1996-01,12570
1996-02,24040
1996-03,16720
1996-04,14530
1996-05,10620
1996-06,9450
1996-07,13880
1996-08,11830
1996-09,9400
1996-10,12050
1996-11,11900
1996-12,12410
1997-01,11890
1997-02,18190
1997-03,14850
1997-04,12110
1997-05,12400
1997-06,11450
1997-07,17140
1997-08,12580
1997-09,9810
1997-10,11850
1997-11,10770
1997-12,10210
1998-01,14940
1998-02,16270
1998-03,10200
1998-04,12640
1998-05,11940
1998-06,16440
1998-07,16480
1998-08,13320
1998-09,7830
1998-10,9230
1998-11,10230
1998-12,10420
1999-01,12170
1999-02,17640
1999-03,10610
1999-04,14360
1999-05,13070
1999-06,11930
1999-07,17590
1999-08,12290
1999-09,10080
1999-10,7830
1999-11,9880
1999-12,10060
2000-01,10100
2000-02,16350
2000-03,10220
2000-04,13950
2000-05,10200
2000-06,12360
2000-07,16900
2000-08,11810
2000-09,7150
2000-10,8500
2000-11,8810
2000-12,8000
2001-01,11150
2001-02,9840
2001-03,8810
2001-04,10080
2001-05,10210
2001-06,13080
2001-07,11670
2001-08,8710
2001-09,6270
2001-10,6720
2001-11,5870
2001-12,7670
2002-01,9530
2002-02,10790
2002-03,7810
2002-04,7620
2002-05,8920
2002-06,7540
2002-07,11300
2002-08,9220
2002-09,5610
2002-10,6540
2002-11,5610
2002-12,6930
2003-01,9660
2003-02,9570
2003-03,6530
2003-04,3800
2003-05,2270
2003-06,3750
2003-07,11330
2003-08,10960
2003-09,7960
2003-10,8150
2003-11,6490
2003-12,7270
2004-01,9870
2004-02,8750
2004-03,6880
2004-04,7130
2004-05,9120
2004-06,10020
2004-07,10840
2004-08,8300
2004-09,5180
2004-10,6490
2004-11,8290
2004-12,7730
2005-01,8250
2005-02,11480
2005-03,9180
2005-04,9930
2005-05,8370
2005-06,9390
2005-07,13210
2005-08,11330
2005-09,8400
2005-10,7390
2005-11,6190
2005-12,7670
2006-01,10910
2006-02,9670
2006-03,7610
2006-04,6830
2006-05,6030
2006-06,7320
2006-07,10890
2006-08,8430
2006-09,6450
2006-10,7810
2006-11,5670
2006-12,6650
2007-01,7280
2007-02,10030
2007-03,7910
2007-04,8440
2007-05,6750
2007-06,6610
2007-07,10180
2007-08,8810
2007-09,8660
2007-10,7790
2007-11,5630
2007-12,5350
2008-01,6140
2008-02,7660
2008-03,6310
2008-04,5480
2008-05,6220
2008-06,7470
2008-07,7470
2008-08,6200
2008-09,5650
2008-10,5940
2008-11,6050
2008-12,7500
2009-01,9870
2009-02,8710
2009-03,7930
2009-04,11190
2009-05,9460
2009-06,7290
2009-07,9100
2009-08,8250
2009-09,6050
2009-10,7020
2009-11,6460
2009-12,7810
2010-01,7600
2010-02,10650
2010-03,6870
2010-04,6730
2010-05,5680
2010-06,6380
2010-07,10240
2010-08,7720
2010-09,7260
2010-10,6960
2010-11,5690
2010-12,5890
2011-01,6890
2011-02,6800
2011-03,5850
2011-04,5770
2011-05,5730
2011-06,8330
2011-07,9650
2011-08,8320
2011-09,7770
2011-10,7860
2011-11,6570
2011-12,6730
2012-01,8180
2012-02,8140
2012-03,7490
2012-04,7540
2012-05,6750
2012-06,7940
2012-07,10780
2012-08,9290
2012-09,8640
2012-10,8500
2012-11,7510
2012-12,7580
2013-01,7320
2013-02,11250
2013-03,9520
2013-04,8010
2013-05,7880
2013-06,9420
2013-07,10960
2013-08,9460
2013-09,9710
2013-10,9740
2013-11,7610
2013-12,8440
2014-01,8890
2014-02,11580
2014-03,10060
2014-04,9180
2014-05,10290
2014-06,10350
2014-07,11340
2014-08,11440
2014-09,9910
2014-10,9420
2014-11,8060
2014-12,9600
2015-01,8490
2015-02,12250
2015-03,11400
2015-04,9560
2015-05,10380
2015-06,10360
2015-07,12440
2015-08,12510
2015-09,11260
2015-10,11210
2015-11,11000
2015-12,10370
2016-01,10800
2016-02,16060
2016-03,14490
2016-04,11840
2016-05,13020
2016-06,12700
2016-07,15510
2016-08,15090
2016-09,14900
2016-10,13160
2016-11,12920
2016-12,12470
2017-01,13680
2017-02,16550
2017-03,13870
2017-04,13500
2017-05,13200
2017-06,14300
2017-07,16330
2017-08,18190
2017-09,14340
2017-10,16330
2017-11,12700
2017-12,16940
2018-01,14760
2018-02,20760
2018-03,18540
2018-04,15890
2018-05,16750
2018-06,16540
2018-07,19710
2018-08,19060
2018-09,15570
2018-10,15820
2018-11,14390
2018-12,15030
2019-01,15430
2019-02,21570
2019-03,15710
2019-04,12730
2019-05,14640
2019-06,16390
2019-07,17180
2019-08,20850
2019-09,15200
2019-10,16540
2019-11,14830
2019-12,13540
2020-01,18730
2020-02,13860
2020-03,3140
2020-04,10
2020-05,30
2020-06,50
2020-07,20
2020-08,10
2020-09,20
2020-10,30
2020-11,20
2020-12,30
2021-01,40
2021-02,10
2021-03,40
2021-04,20
2021-05,30
2021-06,30
2021-07,40
2021-08,30
2021-09,30
2021-10,20
2021-11,60
2021-12,130
2022-01,280
2022-02,620
2022-03,950
2022-04,1090
2022-05,1040
2022-06,1830
2022-07,2700
2022-08,2630
2022-09,2810
2022-10,3400
2022-11,3670
2022-12,5140
2023-01,9380
2023-02,8900
2023-03,8480
2023-04,7500
2023-05,7830
2023-06,10830
2023-07,14120
2023-08,14000
2023-09,10390
2023-10,11600
2023-11,9910
2023-12,9850
2024-01,11460
2024-02,19820
2024-03,13340
2024-04,10470
2024-05,12100
2024-06,15670
2024-07,19790
2024-08,18240
2024-09,11710
2024-10,11370
2024-11,10140
2024-12,10360
2025-01,18040
2025-02,15370
2025-03,13730
2025-04,10920
2025-05,12680
2025-06,16860
2025-07,23660
2025-08,24820
2025-09,13910
2025-10,16760
2025-11,13520
2025-12,13220
2026-01,14620
2026-02,28420
2026-03,16010
2026-04,12870
2026-05,13370
2026-06,15730
2026-07,23910
