AustralianPort,Period,FlightsIn,FlightsOut,SeatsIn,SeatsOut,PaxIn,PaxOut
Sydney,2019,478,477,146268,145962,106327,111982
Sydney,2023,335,321,102524,98231,73305,71739
Sydney,2024,294,293,89973,89667,66751,68501
Sydney,2025,255,255,78603,78603,64553,68070
Sydney,FY23/24,317,316,97002,96696,69326,72969
Sydney,FY24/25,257,257,78652,78652,61783,64920
Sydney,2024H1,162,161,49572,49266,35953,34820
Sydney,2025H1,125,125,38251,38251,30985,31239
Sydney,2026H1,124,124,39556,39556,34917,35405
Sydney,LTM,254,254,79908,79908,68485,72236
Brisbane,2019,562,562,179294,179294,118478,126596
Brisbane,2023,443,445,101658,102323,92563,93336
Brisbane,2024,432,432,137916,137916,92286,97224
Brisbane,2025,422,422,121256,121256,96834,104711
Brisbane,FY23/24,441,441,120402,120402,93756,95592
Brisbane,FY24/25,411,411,124758,124758,93180,100839
Brisbane,2024H1,221,221,70434,70434,46343,44444
Brisbane,2025H1,200,200,57276,57276,47237,48059
Brisbane,2026H1,215,215,68738,68738,47785,50875
Brisbane,LTM,437,437,132718,132718,97382,107527
Melbourne,2019,158,158,50168,50168,41581,42847
Melbourne,2023,239,239,73084,73084,52948,50760
Melbourne,2024,226,225,69158,68852,52279,52097
Melbourne,2025,224,225,69116,69422,53998,60051
Melbourne,FY23/24,230,230,70332,70332,52689,51597
Melbourne,FY24/25,221,221,67626,67626,50034,54463
Melbourne,2024H1,115,115,35192,35192,27105,25228
Melbourne,2025H1,110,111,33660,33966,24860,27594
Melbourne,2026H1,114,113,36848,36542,32573,32090
Melbourne,LTM,228,227,72304,71998,61711,64547
