Month,Scheduled Operator,Country to/from,Passengers In,Freight In,Mail In,Passengers Out,Freight Out,Mail Out,Year
2009-01,China Airlines,Taiwan,9003,48.997,9.324,7596,25.802,0,2009
2009-01,Eva Air,Taiwan,4817,69.225,4.425,3363,165.277,2.252,2009
2009-02,China Airlines,Taiwan,8062,66.912,14.589,6179,29.223,0,2009
2009-02,Eva Air,Taiwan,2824,82.431,3.971,2445,32.486,1.023,2009
2009-03,China Airlines,Taiwan,7073,85.271,10.242,7303,40.245,0.409,2009
2009-03,Eva Air,Taiwan,2372,84.892,4.346,2199,30.718,1.334,2009
2009-04,China Airlines,Taiwan,10424,109.723,31.228,10730,34.619,0,2009
2009-04,Eva Air,Taiwan,2721,92.021,5.395,2560,26.762,1.051,2009
2009-05,China Airlines,Taiwan,8810,168.768,46.409,9717,46.315,0.454,2009
2009-05,Eva Air,Taiwan,2271,89.464,4.744,2330,31.309,1.039,2009
2009-06,China Airlines,Taiwan,7247,198.291,47.401,9321,55.048,0.241,2009
2009-06,Eva Air,Taiwan,1745,118.836,5.17,2482,37.719,0.798,2009
2009-07,China Airlines,Taiwan,9564,234.622,32.425,7422,44.984,0.38,2010
2009-07,Eva Air,Taiwan,2715,159.663,5.488,1749,29.924,1.068,2010
2009-08,China Airlines,Taiwan,7911,213.008,36.632,9012,58.832,0.109,2010
2009-08,Eva Air,Taiwan,2282,161.222,5.386,2915,37.048,1.2,2010
2009-09,China Airlines,Taiwan,6315,211.099,36.926,6802,33.697,0.118,2010
2009-09,Eva Air,Taiwan,1750,110.275,5.666,2048,48.608,1.203,2010
2009-10,China Airlines,Taiwan,8544,181.926,43.122,7482,54.406,0,2010
2009-10,Eva Air,Taiwan,2894,136.281,6.486,2383,48.103,1.137,2010
2009-11,China Airlines,Taiwan,6832,221.66,39.158,9935,29.445,0.349,2010
2009-11,Eva Air,Taiwan,2002,155.299,6.005,2760,39.099,1.125,2010
2009-11,Qantas Airways,Taiwan,..,..,..,..,0,0,2010
2009-12,China Airlines,Taiwan,9255,161.493,36.749,12888,27.404,0,2010
2009-12,Eva Air,Taiwan,2263,139.221,5.8,2897,178.907,1.303,2010
2010-01,China Airlines,Taiwan,12388,110.055,33.31,9455,216.892,0,2010
2010-01,Eva Air,Taiwan,2788,103.47,6.002,2062,175.739,0.712,2010
2010-02,China Airlines,Taiwan,10005,98.661,11.621,8257,79.301,0.785,2010
2010-02,Eva Air,Taiwan,2573,118.477,5.496,2479,19.866,0.341,2010
2010-03,China Airlines,Taiwan,6777,139.804,15.399,7159,68.617,1.133,2010
2010-03,Eva Air,Taiwan,2205,151.83,6.831,2257,27.201,0,2010
2010-04,China Airlines,Taiwan,6958,126.033,15.447,6259,95.972,0.494,2010
2010-04,Eva Air,Taiwan,2373,144.957,7.076,1849,49.035,0,2010
2010-05,China Airlines,Taiwan,4983,152.202,16.536,5529,135.344,0.691,2010
2010-05,Eva Air,Taiwan,1985,134.739,7.781,1794,59.768,0,2010
