Month,AustralianPort,ForeignPort,Country,PaxIn,FreightIn,MailIn,PaxOut,FreightOut,MailOut,TotalPax,TotalFreight,TotalMail,Year
2009-01,Brisbane,Taipei,Taiwan,8665,96.562,7.915,6470,174.664,2.252,15135,271.226,10.167,2009
2009-01,Sydney,Taipei,Taiwan,5155,21.66,5.834,4489,16.415,0,9644,38.075,5.834,2009
2009-02,Brisbane,Taipei,Taiwan,6311,115.715,6.688000000000001,5272,44.757,1.023,11583,160.47199999999998,7.711,2009
2009-02,Sydney,Taipei,Taiwan,4575,33.628,11.872,3352,16.952,0,7927,50.58,11.872,2009
2009-03,Brisbane,Taipei,Taiwan,5383,120.657,8.612,5117,46.417,1.334,10500,167.074,9.946,2009
2009-03,Sydney,Taipei,Taiwan,4062,49.506,5.976,4385,24.546,0.40900000000000003,8447,74.05199999999999,6.385,2009
2009-04,Brisbane,Taipei,Taiwan,5709,133.008,8.574,5495,42.475,1.051,11204,175.483,9.625,2009
2009-04,Sydney,Taipei,Taiwan,7436,68.736,28.049,7795,18.906,0,15231,87.64200000000001,28.049,2009
2009-05,Brisbane,Taipei,Taiwan,5281,135.792,27.613,5457,51.814,1.141,10738,187.606,28.754,2009
2009-05,Sydney,Taipei,Taiwan,5800,122.44,23.54,6590,25.810000000000002,0.352,12390,148.25,23.892,2009
2009-06,Brisbane,Taipei,Taiwan,4633,180.89600000000002,39.344,5752,56.591,0.798,10385,237.48700000000002,40.142,2009
2009-06,Sydney,Taipei,Taiwan,4359,136.231,13.227,6051,36.176,0.241,10410,172.40699999999998,13.468,2009
2009-07,Brisbane,Taipei,Taiwan,6304,257.067,18.48,3891,52.721999999999994,1.068,10195,309.789,19.548000000000002,2010
2009-07,Sydney,Taipei,Taiwan,5975,137.21800000000002,19.433,5280,22.186,0.38,11255,159.40400000000002,19.813,2010
2009-08,Brisbane,Taipei,Taiwan,4824,247.863,18.511,5575,55.979,1.2,10399,303.842,19.711,2010
2009-08,Sydney,Taipei,Taiwan,5369,126.367,23.506999999999998,6352,39.901,0.109,11721,166.268,23.616,2010
2009-09,Brisbane,Taipei,Taiwan,3909,202.311,27.742,4365,62.638,1.203,8274,264.949,28.945,2010
2009-09,Sydney,Taipei,Taiwan,4156,119.063,14.85,4485,19.667,0.118,8641,138.73,14.968,2010
2009-10,Brisbane,Taipei,Taiwan,5967,241.457,22.241,4619,74.983,1.137,10586,316.44,23.378,2010
2009-10,Sydney,Taipei,Taiwan,5471,76.75,27.367,5246,27.526,0,10717,104.27600000000001,27.367,2010
2009-11,Brisbane,Taipei,Taiwan,4204,274.74,23.799,5999,53.324,1.125,10203,328.064,24.924,2010
2009-11,Sydney,Taipei,Taiwan,4630,102.219,21.363999999999997,6696,15.22,0.349,11326,117.439,21.712999999999997,2010
2009-12,Brisbane,Taipei,Taiwan,4941,210.174,13.154,6845,186.64000000000001,1.303,11786,396.814,14.457,2010
2009-12,Sydney,Taipei,Taiwan,6577,90.54,29.395000000000003,8940,19.671,0,15517,110.21100000000001,29.395000000000003,2010
2010-01,Brisbane,Taipei,Taiwan,6844,156.651,18.099,5169,315.222,0.712,12013,471.873,18.811,2010
2010-01,Sydney,Taipei,Taiwan,8332,56.874,21.213,6348,77.409,0,14680,134.28300000000002,21.213,2010
2010-02,Brisbane,Taipei,Taiwan,5828,165.322,9.52,5333,47.189,0.341,11161,212.511,9.860999999999999,2010
2010-02,Sydney,Taipei,Taiwan,6750,51.816,7.5969999999999995,5403,51.977999999999994,0.785,12153,103.79400000000001,8.382,2010
2010-03,Brisbane,Taipei,Taiwan,4406,219.65,10.952000000000002,4869,50.657,0,9275,270.307,10.952000000000002,2010
2010-03,Sydney,Taipei,Taiwan,4576,71.984,11.278,4547,45.161,1.133,9123,117.145,12.411,2010
2010-04,Brisbane,Taipei,Taiwan,4465,218.07799999999997,11.985,4242,107.479,0,8707,325.55699999999996,11.985,2010
2010-04,Sydney,Taipei,Taiwan,4866,52.912,10.538,3866,37.528,0.494,8732,90.44,11.032,2010
2010-05,Brisbane,Taipei,Taiwan,3549,202.22899999999998,12.561,3906,117.953,0,7455,320.182,12.561,2010
2010-05,Sydney,Taipei,Taiwan,3419,84.712,11.756,3417,77.159,0.691,6836,161.871,12.447000000000001,2010
2010-06,Brisbane,Taipei,Taiwan,4013,171.962,11.833,5038,83.589,0,9051,255.551,11.833,2010
2010-06,Sydney,Taipei,Taiwan,3406,61.397,9.269,4610,49.118,0.696,8016,110.515,9.965,2010
2010-07,Brisbane,Taipei,Taiwan,6197,212.75400000000002,14.589,4957,96.237,0,11154,308.991,14.589,2011
2010-07,Sydney,Taipei,Taiwan,5754,55.127,11.789,4830,41.694,3.172,10584,96.821,14.961,2011
2010-08,Brisbane,Taipei,Taiwan,4675,183.405,13.567,5204,49.583,0,9879,232.988,13.567,2011
2010-08,Sydney,Taipei,Taiwan,4368,39.484,5.311,4591,34.601,0.344,8959,74.08500000000001,5.655,2011
2010-09,Brisbane,Taipei,Taiwan,4232,194.587,13.857,4549,64.428,0,8781,259.015,13.857,2011
2010-09,Sydney,Taipei,Taiwan,4591,64.501,7.253,4651,42.655,0.828,9242,107.156,8.081,2011
2010-10,Brisbane,Taipei,Taiwan,5095,234.233,13.529,4130,66.709,0,9225,300.942,13.529,2011
2010-10,Sydney,Taipei,Taiwan,4743,48.008,7.246,3704,43.105,0.322,8447,91.113,7.5680000000000005,2011
2010-11,Brisbane,Taipei,Taiwan,3512,215.369,13.572,4863,88.547,0,8375,303.916,13.572,2011
2010-11,Sydney,Taipei,Taiwan,3791,88.935,6.523,4650,51.105,0.299,8441,140.04,6.822,2011
2010-12,Brisbane,Taipei,Taiwan,4443,138.563,14.152000000000001,5360,115.878,0,9803,254.44099999999997,14.152000000000001,2011
2010-12,Melbourne,Taipei,Taiwan,..,..,..,..,188.404,0,..,188.404,0,2011
2010-12,Sydney,Taipei,Taiwan,4876,67.461,8.219,5440,60.419,0,10316,127.88,8.219,2011
2011-01,Brisbane,Taipei,Taiwan,4918,139.986,17.79,4196,66.402,0,9114,206.388,17.79,2011
2011-01,Sydney,Taipei,Taiwan,6145,27.493,5.966,5439,73.755,0.401,11584,101.248,6.367,2011
2011-02,Brisbane,Taipei,Taiwan,3753,115.056,9.985,3869,81.609,0,7622,196.665,9.985,2011
2011-02,Sydney,Taipei,Taiwan,5044,17.209,2.18,3711,47.022,0.49,8755,64.231,2.67,2011
2011-03,Brisbane,Taipei,Taiwan,2242,152.233,12.376,2697,168.357,0,4939,320.59,12.376,2011
2011-03,Melbourne,Taipei,Taiwan,..,..,..,..,100.038,0,..,100.038,0,2011
2011-03,Sydney,Taipei,Taiwan,3447,64.004,8.047,3501,63.325,0.57,6948,127.329,8.617,2011
2011-04,Brisbane,Taipei,Taiwan,3544,104.487,12.59,3639,78.444,0,7183,182.931,12.59,2011
2011-04,Melbourne,Taipei,Taiwan,..,..,..,..,110.067,0,..,110.067,0,2011
2011-04,Sydney,Taipei,Taiwan,3789,43.611,13.83,4310,47.563,0.204,8099,91.174,14.034,2011
2011-05,Brisbane,Taipei,Taiwan,2954,106.021,12.016,3159,81.858,0,6113,187.879,12.016,2011
2011-05,Darwin,Taipei,Taiwan,..,..,..,..,0,0,..,0,0,2011
2011-05,Melbourne,Taipei,Taiwan,..,..,..,..,104.853,0,..,104.853,0,2011
2011-05,Sydney,Taipei,Taiwan,2433,35.732,14.308,2581,56.081,0.371,5014,91.813,14.679,2011
2011-06,Brisbane,Taipei,Taiwan,4077,135.927,11.94,4407,51.769,0,8484,187.696,11.94,2011
2011-06,Sydney,Taipei,Taiwan,3700,64.664,12.784,4435,51.345,0.281,8135,116.009,13.065,2011
2011-07,Brisbane,Taipei,Taiwan,5373,190.352,15.167,5590,67.167,0,10963,257.519,15.167,2012
2011-07,Sydney,Taipei,Taiwan,4965,43.585,13.431,4265,52.383,0.308,9230,95.968,13.739,2012
2011-08,Brisbane,Taipei,Taiwan,4583,196.453,7.376,5421,77.632,0,10004,274.085,7.376,2012
2011-08,Sydney,Taipei,Taiwan,4207,63.766,15.904,4782,58.957,0.681,8989,122.723,16.585,2012
2011-09,Brisbane,Taipei,Taiwan,4296,157.679,15.16,5038,115.321,0,9334,273,15.16,2012
2011-09,Sydney,Taipei,Taiwan,3637,61.427,10.457,3923,37.184,0.489,7560,98.611,10.946,2012
2011-10,Brisbane,Taipei,Taiwan,4504,143.25,19.686,4698,54.344,0,9202,197.594,19.686,2012
2011-10,Sydney,Taipei,Taiwan,4705,57.879,20.048,3831,72.015,0.494,8536,129.894,20.542,2012
2011-11,Brisbane,Taipei,Taiwan,3560,178.425,24.506,5107,78.185,0.006,8667,256.61,24.512,2012
